Operating Name,PhoneNumber,Website,Active/Inactive,In-Person Load,Fee,In-Person Unload,Fee,Online Load,Fee,Online Unload,Fee,Street #,Street Name,Unit #,City,Province,Postal,Country,Telegram,Email,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Payment Types,Transaction Limit
string,string,string,bool,bool,uint,bool,uint,bool,uint,bool,uint,uint,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,uint
Simply Cash - Scarborough,(416) 291-3242,simplycash.ca,TRUE,TRUE,2,TRUE,2,TRUE,2,TRUE,2,1911,Kennedy Road,N/A,Scarborough,ON,M1P2L9,Canada,@scash1,info@simplycash.ca,9:00AM-7:00PM UTC-04:00,9:00AM-7:00PM UTC-04:00,9:00AM-7:00PM UTC-04:00,9:00AM-9:00PM UTC-04:00,9:00AM-9:00PM UTC-04:00,10:00AM-5:00PM UTC-04:00,Closed,Cash | Interact E-Transfer,3000
Simply Cash - Pickering,(905) 422-0042,simplycash.ca,TRUE,TRUE,2,TRUE,2,TRUE,2,TRUE,2,985,Brock Road,A3,Pickering,ON,L1W3A4,Canada,@scash1,info@simplycash.ca,9:30AM-4:30PM UTC-04:00,9:30AM-4:30PM UTC-04:00,9:30AM-4:30PM UTC-04:00,9:30AM-7:00PM UTC-04:00,9:30AM-7:00PM UTC-04:00,10:30AM-4:30PM UTC-04:00,Closed,Cash | Interact E-Transfer,3000
Louii B - Downtown,(647) 866 6969,dolouii.com,TRUE,TRUE,5,TRUE,5,FALSE,0,FALSE,0,279,Spadina Avenue,N/A,Toronto,ON,M5T2E3,Canada,N/A,inquiries@dolouii.com,10:30AM-6:00PM UTC-04:00,10:30AM-6:00PM UTC-04:00,10:30AM-6:00PM UTC-04:00,10:30AM-6:00PM UTC-04:00,10:30AM-6:00PM UTC-04:00,Appointment Only,Closed,Cash,1500
Louii B - Mississauga T&T,(647) 866 6969,dolouii.com,TRUE,TRUE,5,TRUE,5,FALSE,0,FALSE,0,715,Central Parkway West,,Mississauga,ON,L5B4L1,Canada,N/A,inquiries@dolouii.com,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,Appointment Only,Closed,Cash,1500
Louii B - Richmond Hill,(647) 866 6969,dolouii.com,TRUE,TRUE,5,TRUE,5,FALSE,0,FALSE,0,330,Highway 7 East,102B,Richmond Hill,ON,L4B3P8,Canada,N/A,inquiries@dolouii.com,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,Appointment Only,Closed,Cash,1500
Louii B - Richmond Hill,(647) 866 6969,dolouii.com,TRUE,TRUE,5,TRUE,5,FALSE,0,FALSE,0,9625,Yonge Street,N/A,Richmond Hill,ON,L4C5T2,Canada,N/A,inquiries@dolouii.com,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,Appointment Only,Closed,Cash,1500
Louii B - Scarborough,(647) 866 6969,dolouii.com,TRUE,TRUE,5,TRUE,5,FALSE,0,FALSE,0,4779,Steeles Avenue East,Unit 6,Scarborough,ON,M1V4S7,Canada,N/A,inquiries@dolouii.com,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,10:30AM-4:00PM UTC-04:00,Appointment Only,Closed,Cash,1500
Louii B - Montreal,(647) 866 6969,dolouii.com,TRUE,TRUE,5,TRUE,5,FALSE,0,FALSE,0,8141,Boulevard Pie-IX,Unit 6,Montreal,QC,H1Z3T5,Canada,N/A,inquiries@dolouii.com,10:00AM-6:00PM UTC-04:00,10:00AM-6:00PM UTC-04:00,10:00AM-6:00PM UTC-04:00,10:00AM-6:00PM UTC-04:00,10:00AM-6:00PM UTC-04:00,10:00AM-6:00PM UTC-04:00,Closed,Cash,1500
M.F Converter Services,(506) 447-8169,N/A,TRUE,TRUE,2,TRUE,2,TRUE,2,TRUE,2,50,Kimble Court,N/A,Fredericton,NB,E3B5W4,Canada,N/A,mrrflwllng891@gmail.com,10:00AM-5:00PM UTC-03:00,10:00AM-5:00PM UTC-03:00,10:00AM-5:00PM UTC-03:00,10:00AM-5:00PM UTC-03:00,10:00AM-5:00PM UTC-03:00,10:00AM-5:00PM UTC-03:00,10:00AM-5:00PM UTC-03:00,Cash | Interact E-Transfer,500
Kantor - Toronto West Branch,(416) 767-7782,kantor.ca,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,121,Runnymede Road,N/A,Toronto,ON,M6S2Y4,Canada,N/A,kantor@kantor.ca,10:00AM-6:00PM UTC-04:00,10:00AM-6:00PM UTC-04:00,10:00AM-6:00PM UTC-04:00,10:00AM-6:00PM UTC-04:00,10:00AM-6:00PM UTC-04:00,10:00AM-3:00PM UTC-04:00,Closed,To be determined,0
Kantor - North York Branch,(416) 855-5770,kantor.ca,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,4400,Dufferin Street ,N/A,North York,ON,M3H6A8,Canada,N/A,kantor@kantor.ca,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-5:00PM UTC-04:00,10:00AM-3:00PM UTC-04:00,To be determined,0
Kantor - Thornhill Branch,(905) 482-8620,kantor.ca,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,390,Steeles Avenue West,Unit 18,Thornhill,ON,L4J6X2,Canada,N/A,kantor@kantor.ca,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-5:00PM UTC-04:00,Closed,To be determined,0
Kantor - Mississauga Branch,(905) 369-9978,kantor.ca,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,3643,Dixie Road,Unit 1,Mississauga,ON,L4Y2B3,Canada,N/A,kantor@kantor.ca,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-5:00PM UTC-04:00,10:00AM-3:00PM UTC-04:00,To be determined,0
Kantor - Hamilton Branch,(905) 661-1111,kantor.ca,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,685,Queenston Road,N/A,Hamilton,ON,L8G1A1,Canada,N/A,kantor@kantor.ca,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-7:00PM UTC-04:00,10:00AM-5:00PM UTC-04:00,10:00AM-3:00PM UTC-04:00,To be determined,0
Ultimate Currency Exchange - Ottawa West,(613) 596-5505,uexchange.ca,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2573,Carling Avenue,N/A,Ottawa,ON,K2B7H7,Canada,N/A,enquiry@uexchange.ca,9:30AM-5:30PM UTC-04:00,9:30AM-5:30PM UTC-04:00,9:30AM-5:30PM UTC-04:00,9:30AM-5:30PM UTC-04:00,9:30AM-5:30PM UTC-04:00,9:30AM-5:30PM UTC-04:00,Closed,To be determined,0
